date,CIN,name,petrol,diesel,gas,electro,hybrid,plugInHybrid,others
01.01.2022,09563,"Fürth, kreisfreie Stadt",41773.0,19078,358,800,1718,738,10
01.01.2022,09564,"Nürnberg, kreisfreie Stadt",153711.0,79017,1221,2723,7746,3363,44
01.01.2022,09565,"Schwabach, kreisfreie Stadt",17279.0,7560,101,424,797,332,6
01.01.2022,09571,"Ansbach, Landkreis",76314.0,46756,886,1431,1680,1004,23
01.01.2022,09572,"Erlangen-Höchstadt, Landkreis",57167.0,30410,488,1538,1807,1696,32
01.01.2022,09573,"Fürth, Landkreis",52260.0,22397,354,1000,1493,719,15
01.01.2022,09574,"Nürnberger Land, Landkreis",71263.0,35343,505,1525,2547,1176,11
01.01.2022,09575,"Neustadt an der Aisch-Bad Windsheim, Landkreis",40050.0,25887,454,941,980,601,18
01.01.2022,09576,"Roth, Landkreis",53445.0,30525,389,1055,1781,914,12
01.01.2022,09577,"Weißenburg-Gunzenhausen, Landkreis",38105.0,22736,433,820,915,578,11
01.01.2022,09661,"Aschaffenburg, kreisfreie Stadt",27352.0,12861,370,705,987,876,6
01.01.2022,09662,"Schweinfurt, kreisfreie Stadt",17172.0,10170,265,385,797,695,5
01.01.2022,09663,"Würzburg, kreisfreie Stadt",39549.0,20657,701,1060,1734,1025,17
01.01.2022,09671,"Aschaffenburg, Landkreis",75806.0,37064,907,1586,2311,1516,20
01.01.2022,09672,"Bad Kissingen, Landkreis",41355.0,27453,581,827,915,467,11
01.01.2022,09673,"Rhön-Grabfeld, Landkreis",30024.0,22680,426,999,735,425,11
01.01.2022,09674,"Haßberge, Landkreis",32513.0,24444,555,768,613,404,12
01.01.2022,09675,"Kitzingen, Landkreis",37489.0,22100,499,792,1144,528,10
01.01.2022,09676,"Miltenberg, Landkreis",53130.0,29834,598,799,2032,1072,14
01.01.2022,09677,"Main-Spessart, Landkreis",51779.0,30787,759,935,1452,765,18
01.01.2022,09678,"Schweinfurt, Landkreis",47868.0,27756,717,1073,1216,599,23
01.01.2022,09679,"Würzburg, Landkreis",67154.0,35124,1071,1653,1995,1077,19
01.01.2022,09761,"Augsburg, kreisfreie Stadt",89794.0,41461,1388,1519,4236,2011,30
01.01.2022,09762,"Kaufbeuren, kreisfreie Stadt",16711.0,7951,177,308,615,260,3
01.01.2022,09763,"Kempten (Allgäu), kreisfreie Stadt",24284.0,13453,232,634,1040,482,6
01.01.2022,09764,"Memmingen, kreisfreie Stadt",16498.0,9351,150,347,550,315,1
01.01.2022,09771,"Aichach-Friedberg, Landkreis",55275.0,29363,634,1178,1767,829,11
01.01.2022,09772,"Augsburg, Landkreis",108603.0,51731,1107,2040,3910,1918,25
01.01.2022,09773,"Dillingen an der Donau, Landkreis",40868.0,23050,413,645,1283,535,16
01.01.2022,09774,"Günzburg, Landkreis",51487.0,31218,442,945,1388,814,12
01.01.2022,09775,"Neu-Ulm, Landkreis",71752.0,35518,667,1260,1929,1210,18
01.01.2022,09776,"Lindau (Bodensee), Landkreis",33269.0,17755,274,677,901,493,7
01.01.2022,09777,"Ostallgäu, Landkreis",57415.0,32871,669,1274,1584,748,15
01.01.2022,09778,"Unterallgäu, Landkreis",61637.0,36166,606,1056,1438,694,20
01.01.2022,09779,"Donau-Ries, Landkreis",55330.0,33905,560,989,1970,960,9
01.01.2022,09780,"Oberallgäu, Landkreis",62823.0,36453,476,1357,1726,886,17
01.01.2022,10041,"Regionalverband Saarbrücken, Landkreis",128595.0,54384,770,1858,5143,2155,35
01.01.2022,10042,"Merzig-Wadern, Landkreis",44392.0,25271,247,691,1561,511,6
01.01.2022,10043,"Neunkirchen, Landkreis",59422.0,23816,412,784,2065,721,25
01.01.2022,10044,"Saarlouis, Landkreis",90363.0,37998,521,1248,3033,1158,33
01.01.2022,10045,Saarpfalz-Kreis,65033.0,28847,517,1051,2255,944,34
01.01.2022,10046,"Sankt Wendel, Landkreis",40547.0,19104,343,593,1245,526,11
01.01.2022,11000,"Berlin, kreisfreie Stadt",875707.0,274223,13968,16678,43310,17496,411
01.01.2022,12051,"Brandenburg an der Havel, kreisfreie Stadt",24673.0,8617,224,362,867,321,13
01.01.2022,12052,"Cottbus, kreisfreie Stadt",35228.0,11533,323,315,1248,396,19
01.01.2022,12053,"Frankfurt (Oder), kreisfreie Stadt",20929.0,6163,294,152,613,199,16
01.01.2022,12054,"Potsdam, kreisfreie Stadt",52519.0,20257,773,958,2015,989,27
01.01.2022,12060,"Barnim, Landkreis",74756.0,28590,1269,992,2403,832,33
01.01.2022,12061,"Dahme-Spreewald, Landkreis",70745.0,30936,1248,971,2556,819,36
01.01.2022,12062,"Elbe-Elster, Landkreis",42445.0,18824,526,281,1086,248,35
01.01.2022,12063,"Havelland, Landkreis",64849.0,26293,896,1053,2317,740,26
01.01.2022,12064,"Märkisch-Oderland, Landkreis",82047.0,31932,1241,895,2648,854,44
01.01.2022,12065,"Oberhavel, Landkreis",86811.0,32960,1395,1293,2798,1048,32
01.01.2022,12066,"Oberspreewald-Lausitz, Landkreis",44411.0,18939,473,233,1197,272,28
01.01.2022,12067,"Oder-Spree, Landkreis",73911.0,30186,1039,771,1952,686,30
01.01.2022,12068,"Ostprignitz-Ruppin, Landkreis",37866.0,19140,575,312,751,367,23
01.01.2022,12069,"Potsdam-Mittelmark, Landkreis",84839.0,40069,1130,1613,2493,1206,39
01.01.2022,12070,"Prignitz, Landkreis",29496.0,15036,322,245,678,697,13
01.01.2022,12071,"Spree-Neiße, Landkreis",49842.0,19020,459,343,1053,337,24
01.01.2022,12072,"Teltow-Fläming, Landkreis",70025.0,30929,1121,964,2173,867,25
01.01.2022,12073,"Uckermark, Landkreis",47002.0,18993,555,340,1350,324,21
01.01.2022,13003,"Rostock, kreisfreie Stadt",58734.0,24032,630,803,2150,666,42
01.01.2022,13004,"Schwerin, kreisfreie Stadt",29288.0,13220,335,328,1164,352,15
01.01.2022,13071,"Mecklenburgische Seenplatte, Landkreis",93100.0,48473,906,642,2697,756,42
01.01.2022,13072,"Rostock, Landkreis",77990.0,45522,806,906,2350,802,48
01.01.2022,13073,"Vorpommern-Rügen, Landkreis",80127.0,41324,765,764,2277,688,36
01.01.2022,13074,"Nordwestmecklenburg, Landkreis",57203.0,31510,813,621,1322,437,20
01.01.2022,13075,"Vorpommern-Greifswald, Landkreis",83644.0,38973,801,927,2366,552,41
01.01.2022,13076,"Ludwigslust-Parchim, Landkreis",78890.0,46600,1062,588,1735,465,48
01.01.2022,14511,"Chemnitz, kreisfreie Stadt",87120.0,32902,710,1199,3187,1208,56
01.01.2022,14521,Erzgebirgskreis,140927.0,55450,995,1030,3478,1131,52
01.01.2022,14522,"Mittelsachsen, Landkreis",121957.0,51907,1296,944,3014,967,66
01.01.2022,14523,Vogtlandkreis,94934.0,36967,664,909,2878,801,40
01.01.2022,14524,"Zwickau, Landkreis",130779.0,48251,1078,1420,3489,1230,67
01.01.2022,14612,"Dresden, kreisfreie Stadt",154830.0,64110,1665,2100,6740,2467,97
